Code;Libellé;Médiane du revenu disponible par UC 2018;Part des revenus d'activité 2018;
02347;Gland;24540;N/A
02349;Goudelancourt-lès-Berrieux;N/A;N/A
02350;Goudelancourt-lès-Pierrepont;20180;N/A
02351;Goussancourt;20860;N/A
02352;Gouy;19190;N/A
02353;Grandlup-et-Fay;19530;N/A
02354;Grandrieux;N/A;N/A
02355;Gricourt;22960;N/A
02356;Grisolles;19390;N/A
02357;Gronard;N/A;N/A
02358;Grougis;18470;N/A
02359;Grugies;20890;N/A
02360;Villeneuve-sur-Aisne;21860;71.2
02361;Guise;16400;53.8
02362;Guivry;21180;N/A
02363;Guny;19130;N/A
02364;Guyencourt;24680;N/A
02366;Hannapes;18740;N/A
02367;Happencourt;20480;N/A
02368;Haramont;22010;N/A
02369;Harcigny;18480;N/A
02370;Hargicourt;19760;N/A
02371;Harly;20730;N/A
02372;Hartennes-et-Taux;21410;N/A
